time,high,low,open,close
1613033580,45043.9,45011.7,45041.36,45024.63
1613033640,45028.21,45009.29,45024.63,45017.17
1613033700,45053.19,44932.17,44996.91,45050.62
1613033760,45064.05,45025.77,45038.79,45056.92
1613033820,45066.26,45017.19,45056.92,45017.19
1613033880,45071.28,45015.71,45017.19,45062.77
1613033940,45087.38,45056.65,45062.77,45065.08
1613034000,45140.73,45065.08,45065.08,45140.73
1613034060,45155.19,45083.68,45140.73,45083.68
1613034120,45083.68,45000.99,45083.68,45005.88
1613034180,45047.83,45005.54,45005.88,45005.54
1613034240,45031.31,44966.78,45005.54,44966.78
1613034300,44991.96,44955.04,44966.78,44964.84
1613034360,44991.89,44956.4,44964.84,44957.85
1613034420,44984.23,44956.59,44957.85,44965.94
1613034480,44968.64,44871.52,44965.94,44894.94
1613034540,44924.08,44863.72,44894.94,44920.74
1613034600,44920.74,44831.15,44920.74,44849.5
1613034660,44959.41,44849.5,44849.5,44959.41
1613034720,44980.44,44946.22,44959.41,44946.22
1613034780,44949.94,44922.96,44946.22,44935.25
1613034840,44966.67,44927.63,44935.25,44931.08
1613034900,45053.6,44927.5,44931.08,45049.54
1613034960,45049.54,45001.7,45049.54,45025.43
1613035020,45041.32,45021.79,45025.43,45022.11
1613035080,45022.11,44973.08,45022.11,44974.23
1613035140,45003.89,44965.01,44974.23,44981.71
1613035200,44990.08,44941.76,44981.71,44943.27
1613035260,44951.76,44936.16,44943.27,44951.42
1613035320,44964.9,44941.66,44951.42,44963.44
1613035380,44984.38,44955.13,44963.44,44975.55
1613035440,44981.02,44959.1,44975.55,44966.84
1613035500,44994.45,44966.84,44966.84,44991.86
1613035560,45020.79,44985.19,44991.86,44995.8
1613035620,45037.32,44995.8,44995.8,45037.32
1613035680,45045.98,44992.59,45037.32,45038.84
1613035740,45048.4,45006.39,45038.84,45043.34
1613035800,45099.8,45042.2,45043.34,45099.73
1613035860,45179.12,45099.73,45099.73,45179.12
1613035920,45184.28,45093.04,45179.12,45093.04
1613035980,45094.33,45023.32,45093.04,45030.64
